ANO;MÊS;GRANDE REGIÃO;UNIDADE DA FEDERAÇÃO;PRODUTO;PRODUÇÃO
2012;JAN;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;FEV;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;MAR;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;ABR;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;MAI;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;JUN;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;JUL;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;AGO;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;SET;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;OUT;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;NOV;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;DEZ;REGIÃO NORTE;RONDONIA;ANIDRO;0
2012;JAN;REGIÃO NORTE;ACRE;ANIDRO;0
2012;FEV;REGIÃO NORTE;ACRE;ANIDRO;0
2012;MAR;REGIÃO NORTE;ACRE;ANIDRO;0
2012;ABR;REGIÃO NORTE;ACRE;ANIDRO;0
2012;MAI;REGIÃO NORTE;ACRE;ANIDRO;0
2012;JUN;REGIÃO NORTE;ACRE;ANIDRO;0
2012;JUL;REGIÃO NORTE;ACRE;ANIDRO;0
2012;AGO;REGIÃO NORTE;ACRE;ANIDRO;0
2012;SET;REGIÃO NORTE;ACRE;ANIDRO;0
2012;OUT;REGIÃO NORTE;ACRE;ANIDRO;0
2012;NOV;REGIÃO NORTE;ACRE;ANIDRO;0
2012;DEZ;REGIÃO NORTE;ACRE;ANIDRO;0
2012;JAN;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;FEV;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;MAR;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;ABR;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;MAI;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;JUN;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;JUL;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;AGO;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;SET;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;OUT;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;NOV;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;DEZ;REGIÃO NORTE;AMAZONAS;ANIDRO;0
2012;JAN;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;FEV;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;MAR;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;ABR;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;MAI;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;JUN;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;JUL;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;AGO;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;SET;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;OUT;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;NOV;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;DEZ;REGIÃO NORTE;RORAIMA;ANIDRO;0
2012;JAN;REGIÃO NORTE;PARA;ANIDRO;1379,82
2012;FEV;REGIÃO NORTE;PARA;ANIDRO;0
2012;MAR;REGIÃO NORTE;PARA;ANIDRO;0
2012;ABR;REGIÃO NORTE;PARA;ANIDRO;0
2012;MAI;REGIÃO NORTE;PARA;ANIDRO;0
2012;JUN;REGIÃO NORTE;PARA;ANIDRO;0
2012;JUL;REGIÃO NORTE;PARA;ANIDRO;1310,8
2012;AGO;REGIÃO NORTE;PARA;ANIDRO;2821,588
2012;SET;REGIÃO NORTE;PARA;ANIDRO;4752,532
2012;OUT;REGIÃO NORTE;PARA;ANIDRO;5342,336
2012;NOV;REGIÃO NORTE;PARA;ANIDRO;5260,404
2012;DEZ;REGIÃO NORTE;PARA;ANIDRO;2635,338
2012;JAN;REGIÃO NORTE;TOCANTINS;ANIDRO;0
2012;FEV;REGIÃO NORTE;TOCANTINS;ANIDRO;0
2012;MAR;REGIÃO NORTE;TOCANTINS;ANIDRO;0
2012;ABR;REGIÃO NORTE;TOCANTINS;ANIDRO;10000
2012;MAI;REGIÃO NORTE;TOCANTINS;ANIDRO;11884,111
2012;JUN;REGIÃO NORTE;TOCANTINS;ANIDRO;15583,672
2012;JUL;REGIÃO NORTE;TOCANTINS;ANIDRO;20235,966
2012;AGO;REGIÃO NORTE;TOCANTINS;ANIDRO;18562,44
2012;SET;REGIÃO NORTE;TOCANTINS;ANIDRO;20078,462
2012;OUT;REGIÃO NORTE;TOCANTINS;ANIDRO;18848,693
2012;NOV;REGIÃO NORTE;TOCANTINS;ANIDRO;7911,514
2012;DEZ;REGIÃO NORTE;TOCANTINS;ANIDRO;158,76
2012;JAN;REGIÃO NORDESTE;MARANHÃO;ANIDRO;0
2012;FEV;REGIÃO NORDESTE;MARANHÃO;ANIDRO;0
2012;MAR;REGIÃO NORDESTE;MARANHÃO;ANIDRO;0
2012;ABR;REGIÃO NORDESTE;MARANHÃO;ANIDRO;2558,001
2012;MAI;REGIÃO NORDESTE;MARANHÃO;ANIDRO;10899,4
2012;JUN;REGIÃO NORDESTE;MARANHÃO;ANIDRO;17298,686
2012;JUL;REGIÃO NORDESTE;MARANHÃO;ANIDRO;27395,918
2012;AGO;REGIÃO NORDESTE;MARANHÃO;ANIDRO;33860,889
2012;SET;REGIÃO NORDESTE;MARANHÃO;ANIDRO;29038,943
2012;OUT;REGIÃO NORDESTE;MARANHÃO;ANIDRO;14425,822
2012;NOV;REGIÃO NORDESTE;MARANHÃO;ANIDRO;1350,417
2012;DEZ;REGIÃO NORDESTE;MARANHÃO;ANIDRO;39,882
2012;JAN;REGIÃO NORDESTE;PIAUI;ANIDRO;0
2012;FEV;REGIÃO NORDESTE;PIAUI;ANIDRO;0
2012;MAR;REGIÃO NORDESTE;PIAUI;ANIDRO;0
2012;ABR;REGIÃO NORDESTE;PIAUI;ANIDRO;0
2012;MAI;REGIÃO NORDESTE;PIAUI;ANIDRO;0
2012;JUN;REGIÃO NORDESTE;PIAUI;ANIDRO;2,039
2012;JUL;REGIÃO NORDESTE;PIAUI;ANIDRO;8,212
