REGIÃO;ANO;ETANOL;PRODUÇÃO_m3
REGIÃO CENTRO OESTE;2020;ANIDRO;2665252.854
REGIÃO CENTRO OESTE;2020;HIDRATADO;8653910.265
REGIÃO SUL;2020;HIDRATADO;724087.311
REGIÃO SUL;2020;ANIDRO;539868.746
REGIÃO NORDESTE;2020;ANIDRO;854297.069
REGIÃO NORDESTE;2020;HIDRATADO;1064309.697
REGIÃO SUDESTE;2020;HIDRATADO;11903129.698
REGIÃO SUDESTE;2020;ANIDRO;6048920.103
REGIÃO NORTE;2020;ANIDRO;124798.849
REGIÃO NORTE;2020;HIDRATADO;109118.536
REGIÃO SUL;2021;HIDRATADO;630367.004
REGIÃO SUL;2021;ANIDRO;563249.96
REGIÃO SUDESTE;2021;HIDRATADO;8500832.546
REGIÃO SUDESTE;2021;ANIDRO;6634912.782
REGIÃO NORTE;2021;HIDRATADO;123972.024
REGIÃO NORTE;2021;ANIDRO;132405.923
REGIÃO NORDESTE;2021;HIDRATADO;957641.459
REGIÃO NORDESTE;2021;ANIDRO;884519.359
REGIÃO CENTRO OESTE;2021;HIDRATADO;8344042.717
REGIÃO CENTRO OESTE;2021;ANIDRO;3207727.401
REGIÃO NORTE;2022;ANIDRO;34612.449
REGIÃO NORTE;2022;HIDRATADO;57878.486999999994
REGIÃO NORDESTE;2022;HIDRATADO;315706.989
REGIÃO NORDESTE;2022;ANIDRO;201447.549
REGIÃO SUDESTE;2022;ANIDRO;2086819.648
REGIÃO SUDESTE;2022;HIDRATADO;2974499.713
REGIÃO CENTRO OESTE;2022;HIDRATADO;3341617.718
REGIÃO CENTRO OESTE;2022;ANIDRO;1178124.494
REGIÃO SUL;2022;ANIDRO;147333.136
REGIÃO SUL;2022;HIDRATADO;160889.157
